Year,Period,Employment_Outlook_Index
2008,Q2,70.6
2008,Q3,44.6
2008,Q4,39.6
2009,Q1,31.2
2009,Q2,39.9
2009,Q3,36.5
2009,Q4,32
2010,Q1,31.3
2010,Q2,40.1
2010,Q3,45.7
2010,Q4,51.4
2011,Q1,52.3
2011,Q2,50.5
2011,Q3,48.7
2011,Q4,46.9
2012,Q1,46.6
2012,Q2,43.5
2012,Q3,39.8
2012,Q4,42
2013,Q1,41.5
2013,Q2,35.2
2013,Q3,43.7
2013,Q4,40.3
2014,Q1,39.5
2014,Q2,38.6
2014,Q3,36.6
2014,Q4,40.5
2015,Q1,34
2015,Q2,39.4
2015,Q3,40.1
2015,Q4,40.1
2016,Q1,36
2016,Q2,29.9
2016,Q3,29.6
2016,Q4,23.4
2017,Q1,22.8
2017,Q2,29.7
2017,Q3,27.8
2018,Feb,21.9
2018,Mar,27.9
2018,Apr,23.6
2018,May,26
2018,Jun,27
2018,Jul,24.2
2018,Aug,24.5
2018,Sep,24.4
2018,Oct,27.5
2018,Nov,25.1
2018,Dec,30.7
2019,Jan,27.6
2019,Feb,24.8
2019,Mar,25.9
2019,Apr,28.1
2019,May,24.8
2019,Jun,24.9
2019,Jul,23.7
2019,Aug,25.8
2019,Sep,27.7
2019,Oct,24.8
2019,Nov,26.5
2019,Dec,25.9
2020,Jan,30.1
2020,Feb,30
2020,Mar,23.6
2020,Apr,-6.6
2020,May,5
2020,Jun,12.3
2020,Jul,19.3
2020,Aug,14.4
2020,Sep,19.5
2020,Oct,19.1
2020,Nov,18.5
2023,Jul,26
2023,Aug,15
2023,Sep,20.5
2023,Oct,15.8
2023,Nov,18.2
2023,Dec,19.7
2024,Jan,22.6
2024,Feb,5.4
2024,Mar,12.1
2024,Apr,24.6
2024,May,11.8
2024,Jun,8.2
2024,Jul,8.1
2024,Aug,7.7
2024,Sep,9.4
2024,Oct,6.7
2024,Nov,7
2024,Dec,10.3
2025,Jan,14.9
2025,Feb,15.5
2025,Mar,16.9
2025,Apr,15.6
2025,May,15
2025,Jun,13.9
2025,Jul,13.8
2025,Aug,20
2025,Sep,21.1
2025,Oct,21.3
2025,Nov,21.8
2025,Dec,22
2026,Jan,22
2026,Feb,22.1
