Year,Quarter,Unemployment_Expectation_Index_Next_12_Months
2009,Q2,47
2009,Q3,36.6
2009,Q4,39.7
2010,Q1,35.6
2010,Q2,34.5
2010,Q3,32.5
2010,Q4,27.3
2011,Q1,20.2
2011,Q2,14.3
2011,Q3,16.6
2011,Q4,29.6
2012,Q1,21.1
2012,Q2,30
2012,Q3,34.7
2012,Q4,33.8
2013,Q1,35.2
2013,Q2,39.4
2013,Q3,35.7
2013,Q4,34.3
2014,Q1,33.3
2014,Q2,32.1
2014,Q3,33.5
2014,Q4,24.5
2015,Q1,20.5
2015,Q2,14.1
2015,Q3,12.5
2015,Q4,11.3
2016,Q1,10
2016,Q2,17.1
2016,Q3,20.5
2016,Q4,18.1
2017,Q1,21.3
2017,Q2,19.1
2017,Q3,19.2
2017,Q4,24.2
2018,Q1,26.6
2018,Q2,23.3
2018,Q3,25
2018,Q4,29.3
2019,Q1,13.1
2019,Q2,16.6
2019,Q3,21.8
2019,Q4,21
2020,Q1,27.7
2020,Q2,37.7
2020,Q3,35.4
2020,Q4,36.9
