Period,Working Age Population,Not in Labour Force,Labour Force,Worked  40 Hrs+,Worked 20 -39 Hrs,Worked 1 -19 Hrs,Did nothing ,Total Unemployed,Unemployment Rate,Under-employment Rate 
2014 Q4,"101,769,739","28,838,131","72,931,608","55,206,940","13,052,219","3,145,383","1,527,067","4,672,449",6.41%,17.90%
2015 Q1,"102,824,240","29,388,135","73,436,104","67,902,546","12,208,823","3,087,719","2,445,840","5,533,559",7.54%,16.63%
2015 Q2,"103,567,619","29,557,017","74,010,602","54,376,023","13,571,098","3,105,796","2,957,686","6,063,482",8.19%,18.34%
2015 Q3,"104,314,000","28,373,598","75,940,402","55,216,796","13,205,504","3,850,872","3,667,230","7,518,102",9.90%,17.39%
2015 Q4,"105,023,335","28,065,412","76,957,923","54,506,107","14,415,714","4,158,872","3,877,230","8,036,102",10.44%,18.73%
2016 Q1,"106,001,340","27,514,770","78,486,570","53,977,958","15,023,327","4,436,077","5,049,207","9,485,284",12.09%,19.14%
2016 Q2,"106,690,350","26,804,040","79,886,310","53,626,608","15,415,717","4,879,793","5,764,191","10,643,984",13.32%,19.30%
2016 Q3,"108,033,398","27,364,202","80,669,196","53,554,109","15,916,791","5,227,615","5,970,680","11,198,295",13.88%,19.73%
2016 Q4,"108,591,600","27,439,715","81,151,885","52,576,233","17,026,342","5,728,035","5,821,275","11,549,310",14.23%,20.98%
2017 Q1,"109,439,046","26,846,924","82,592,121","53,829,104","16,836,792","6,047,965","5,878,260","11,926,225",14.44%,20.39%
2017 Q2,"110,286,508","26,346,420","83,940,088","52,675,979","17,678,916","7,234,751","6,350,441","13,585,192",16.18%,21.06%
2017 Q3,"111,133,970","26,045,915","85,088,055","51,060,936","18,029,071","8,461,422","7,536,626","15,998,048",18.80%,21.19%
2017 Q4,"112,118,970","25,581,431","86,537,538","51,165,530","17,700,866","9,070,230","8,600,912","17,671,142",20.42%,20.45%
2018 Q1,"113,168,970","24,962,245","88,206,724","51,154,482","17,800,866","10,150,540","9,100,836","19,251,376",21.83%,20.18%
2018 Q2,"114,310,970","24,801,769","89,509,201","51,173,758","17,991,866","10,932,460","9,411,116","20,343,576",22.73%,20.10%
2018 Q3,"115,492,970","25,022,378","90,470,592","51,326,654","18,216,290","11,182,599","9,745,049","20,927,648",23.13%,20.14%
2018 Q4,,,,,,,,,,
2019 Q1,,,,,,,,,,
2019 Q2,,,,,,,,,,
2019 Q3,,,,,,,,,,
2019 Q4,,,,,,,,,,
2020 Q1,,,,,,,,,,
2020 Q2,"116,871,186","36,579,292","80,291,894","35,585,274","22,942,003","12,395,364","9,369,253","21,764,617",27.11%,28.57%
2020 Q3,,,,,,,,,,
2020 Q4,"122,049,400","52,373,932","69,675,468","30,572,440","15,915,639","11,027,211","12,160,178","23,187,389",33.28%,22.84%
