states,indicators,Unit,Date,Value
Nigeria,Unemployment Rates by State,,1999,8.2
Nigeria,Unemployment Rates by State,,2000,13.1
Nigeria,Unemployment Rates by State,,2001,13.6
Nigeria,Unemployment Rates by State,,2002,12.6
Nigeria,Unemployment Rates by State,,2003,14.8
Nigeria,Unemployment Rates by State,,2004,13.4
Nigeria,Unemployment Rates by State,,2005,11.9
Nigeria,Unemployment Rates by State,,2006,12.3
Nigeria,Unemployment Rates by State,,2007,12.7
Nigeria,Unemployment Rates by State,,2008,14.9
Nigeria,Unemployment Rates by State,,2009,19.7
Nigeria,Unemployment Rates by State,,2010,21.1
Nigeria,Unemployment Rates by State,,2011,21.4
Nigeria,Unemployment Rates by State,,2012,27.4
Nigeria,Unemployment Rates by State,,2013,24.7
Nigeria,Unemployment Rates by State,,2014,23.9
