Session,Year,Key Resolutions / What Was Introduced,Source URL
1st ICLS,1923,"First international guidelines on labour statistics; basic definitions of employment and wages",https://ilostat.ilo.org/about/standards/icls/
2nd ICLS,1925,"Standards on wages and hours of work statistics",https://ilostat.ilo.org/about/standards/icls/
3rd ICLS,1926,"Guidelines on unemployment statistics; resolution on statistics of collective agreements",https://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_087547/lang--en/index.htm
4th ICLS,1931,"Standards on statistics of industrial disputes and strikes",https://ilostat.ilo.org/about/standards/icls/
5th ICLS,1937,"Revised guidelines on wages and hours; led to ILC Convention No. 63 on wages and hours of work",https://ilostat.ilo.org/about/standards/icls/
6th ICLS,1947,"Post-war revival; guidelines on labour force statistics and employment measurement",https://ilostat.ilo.org/about/standards/icls/
7th ICLS,1949,"Standards on family living studies and household expenditure",https://ilostat.ilo.org/about/standards/icls/
8th ICLS,1954,"Revised definitions of employment and unemployment; guidelines on migration statistics",https://ilostat.ilo.org/about/standards/icls/
9th ICLS,1957,"Standards on statistics of occupational injuries and diseases",https://ilostat.ilo.org/about/standards/icls/
10th ICLS,1962,"Guidelines on labour cost statistics; revision of wages and hours standards",https://ilostat.ilo.org/about/standards/icls/
11th ICLS,1966,"Standards on measurement and analysis of underemployment and underutilization of manpower",https://ilostat.ilo.org/about/standards/icls/
12th ICLS,1973,"Revised integrated system of wages statistics; household income and expenditure survey guidelines",https://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_087496/lang--en/index.htm
13th ICLS,1982,"Landmark resolution on the economically active population — modern definitions of employment, unemployment and underemployment",https://www.ilo.org/media/167371/download
14th ICLS,1987,"Guidelines on occupational injuries statistics; statistics of collective bargaining",https://ilostat.ilo.org/about/standards/icls/
15th ICLS,1993,"First standards on statistics of employment in the informal sector",https://ilostat.ilo.org/about/standards/icls/icls-documents/
16th ICLS,1998,"Resolution on measurement of employment-related income; underemployment and inadequate employment; CPI guidelines",https://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_087490/lang--en/index.htm
17th ICLS,2003,"Guidelines on informal employment (broadening 15th ICLS); CPI standards; called for ISCO-88 revision",https://www.ilo.org/meetings-and-events/17th-international-conference-labour-statisticians
18th ICLS,2008,"Resolution on child labour statistics; decent work measurement guidelines; amendment to 13th ICLS resolution",https://ilostat.ilo.org/about/standards/icls/icls-documents/
19th ICLS,2013,"Major overhaul — five forms of work; redefined employment as work for pay or profit; LU1-LU4 labour underutilization measures",https://ilostat.ilo.org/about/standards/icls/icls-documents/
20th ICLS,2018,"Resolution on work relationships (ICSE-18); amendment to 18th ICLS child labour resolution; SDG indicator methodology",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@dgreports/@stat/documents/publication/wcms_651209.pdf
21st ICLS,2023,"Resolution on statistics of the informal economy; amendments to 19th, 16th, and 17th ICLS resolutions",https://ilostat.ilo.org/about/standards/icls/icls-documents/
