Country,Wage Basis,Notes
Afghanistan,monthly,Afs 5500/month for non-permanent private sector
Albania,monthly,L39087/month (~€471)
Algeria,both,DA 24000/month; DA 138.46/hour also published
Andorra,hourly,€7.70/hour
Angola,monthly,Kz 32181/month paid 13x per year
Antigua & Barbuda,hourly,EC$8.20/hour
Armenia,monthly,75000 AMD/month (~$190)
Australia,hourly,Award-based; national minimum wage set per hour
Austria,none,No national minimum; collective bargaining by sector
Azerbaijan,monthly,345 AZN/month (~$203)
Bahamas,hourly,B$5.25/hour (also daily/weekly equivalents)
Bahrain,none,Public-sector floor only; no private-sector statutory minimum
Bangladesh,monthly,1500 BDT/month; industry-specific rates vary
Barbados,hourly,Bds$10.50-$11.43/hour by category
Belarus,monthly,Br 554/month (~$122)
Belgium,monthly,€2030/month
Belize,hourly,BZ$5.00/hour
Benin,monthly,CFA 52000/month
Bhutan,monthly,Nu 3750/month
Bolivia,monthly,Bs. 2500/month + Christmas bonus
Bosnia & Herzegovina,monthly,KM 543 net/month (~$269)
Botswana,hourly,P 7.34/hour (also monthly equivalent)
Brazil,monthly,R$1621/month paid 13x per year
Brunei,none,No statutory minimum wage
Bulgaria,both,1077 BGN/month and 6.49 BGN/hour both official
Burkina Faso,monthly,CFA 34664/month
Cambodia,monthly,KHR 818800/month (~$200) textiles sector
Cameroon,monthly,CFA 36270/month
Canada,hourly,Set per province/territory; federal floor also hourly
Cape Verde,monthly,13000 CVE/month (~$141)
Central African Republic,both,FCFA 35000/month and FCFA 218.75/hour
Chad,both,FCFA 59995/month and FCFA 355/hour
Chile,monthly,CL$529000/month for workers 18-65
China,both,Set locally; expressed monthly or hourly depending on region
Colombia,monthly,COP 1423500 + COP 200000 transport/month
Comoros,monthly,CF 55000/month
DR Congo,daily,FC 1680/day (~$1.83)
Republic of Congo,monthly,FCFA 90000/month (formal sector)
Costa Rica,daily,11954-16000 CRC/day by sector
Cote d'Ivoire,monthly,CFA 60000/month (lowest category)
Croatia,monthly,€840/month
Cuba,monthly,$MN 2100/month (~$6.66)
Czech Republic,both,CZK 20800/month; CZK 124.40/hour
Denmark,none,No statutory minimum; collective bargaining (avg ~DKK 110/hr)
Djibouti,none,2006 Labour Code replaced fixed rate with sector negotiations
Dominica,hourly,EC$4.00/hour
Dominican Republic,monthly,RD$8310-$15100/month by sector
Ecuador,monthly,$594/month (includes 13th & 14th salary components)
Egypt,monthly,Public sector: EGP 6000/month; private sector floor varies
El Salvador,monthly,$304.17/month
Equatorial Guinea,monthly,FCFA 129035/month
Estonia,both,€725/month; €4.30/hour
Eswatini,monthly,E 420-531/month by sector
Ethiopia,none,No national minimum; some state enterprises set own floors
Fiji,hourly,FJ$2.68/hour
Finland,none,No statutory minimum; sector collective agreements required
France,both,€1801/month (official SMIC); €11.88/hour equivalent
Gabon,monthly,FCFA 150000/month
Gambia,daily,D 50/day (~$1.25)
Georgia,monthly,20 GEL/month (outdated floor; actual wages set by market)
Germany,hourly,€13.00/hour (Mindestlohn); monthly figure derived
Ghana,daily,18.19 GHS/day (~$1.20)
Greece,monthly,€968/month (12 payments) or €830 if paid 14x/year
Guatemala,daily,Q 81.87/day for agricultural and non-agricultural sectors
Honduras,monthly,Varies by sector; expressed as monthly rate
Hungary,monthly,HUF 290800/month (~$770)
Iceland,none,No statutory minimum; union agreements near-universal coverage
India,daily,State-specific daily rates (national floor advisory only)
Indonesia,monthly,Set provincially; e.g. DKI Jakarta ~IDR 5067381/month
Iran,monthly,Revised annually; expressed monthly
Iraq,monthly,IQD 350000/month (~$270)
Ireland,hourly,€13.50/hour
Israel,both,5880.02 ILS/month; 32.21 ILS/hour also published
Italy,none,No statutory minimum; collective agreements sector-by-sector
Japan,hourly,Set by prefecture; national weighted average ~1055 JPY/hour
Jordan,monthly,JOD 260/month
Kazakhstan,monthly,KZT 85000/month (~$180)
Kenya,monthly,Varies by sector and region; monthly rate
Kosovo,monthly,€264/month
Kyrgyzstan,monthly,KGS 2210/month (~$26)
Latvia,both,€700/month; €4.13/hour also published
Lebanon,monthly,LBP 9000000/month (real value eroded by inflation)
Lesotho,monthly,Set by sector; monthly rate
Liberia,hourly,L$75/hour (~$0.38)
Libya,monthly,LYD 450/month (~$94)
Lithuania,both,€924/month; €5.65/hour also published
Luxembourg,monthly,€2638-€3165/month by skill level (world's highest)
Madagascar,daily,Ar 5699/day (non-agricultural)
Malawi,daily,MK 1143/day (~$0.64)
Malaysia,monthly,RM 1700/month (~$360)
Maldives,monthly,MVR 4300/month (~$278)
Mali,monthly,CFA 40000/month
Malta,weekly,€212.05/week (~€919/month)
Mauritania,monthly,MRU 1000/month (~$27)
Mauritius,monthly,MUR 11575/month (~$255)
Mexico,daily,$278.80 MXN/day (~$14.70); border zone higher
Moldova,monthly,MDL 4000/month (~$226)
Mongolia,monthly,MNT 660000/month (~$192)
Montenegro,monthly,€450/month
Morocco,hourly,MAD 17.10/hour (industrial); MAD 98.70/day (agricultural)
Mozambique,monthly,Varies by sector; monthly rate
Myanmar,daily,K4800/day (~$2.10)
Namibia,hourly,N$18.68/hour (domestic workers and security guards)
Nepal,monthly,NPR 17300/month (~$130)
Netherlands,hourly,€13.68/hour (no official monthly; employers set hours)
New Zealand,hourly,NZ$23.50/hour (~$13.38 USD)
Nicaragua,monthly,Varies by sector; monthly rate
Niger,monthly,CFA 30047/month
Nigeria,monthly,70000 NGN/month (~$44)
North Macedonia,monthly,MKD 18000/month (~$326)
Norway,none,No statutory minimum; sector collective agreements
Pakistan,monthly,PKR 37000/month (~$133)
Panama,hourly,B/. 2.58-3.09/hour by sector (also expressed daily)
Papua New Guinea,weekly,PGK 3.50/hour; PGK 140/week minimum
Paraguay,monthly,PYG 2680373/month (~$350)
Peru,monthly,PEN 1025/month (~$270)
Philippines,daily,PHP 570/day (~$10) in Metro Manila; regional variation
Poland,both,PLN 4666/month; PLN 30.50/hour also published
Portugal,monthly,€870/month
Qatar,monthly,QAR 1000/month (~$274) for all workers
Romania,monthly,RON 3700/month (~$742)
Russia,monthly,RUB 19242/month (~$218)
Rwanda,none,No statutory minimum wage
Saudi Arabia,monthly,SAR 4000/month (~$1067) for nationals
Senegal,hourly,CFA 423.51/hour
Serbia,hourly,Net hourly rate (grossed up for comparison)
Sierra Leone,monthly,Le 800000/month (~$40)
Singapore,none,No national statutory minimum (Progressive Wage Model for some sectors)
Slovakia,monthly,€816/month
Slovenia,monthly,€1253.90/month
Solomon Islands,weekly,SI$4.00/hour; weekly rate enforced
South Africa,hourly,ZAR 27.58/hour (National Minimum Wage)
South Korea,hourly,10030 KRW/hour
Spain,monthly,€1184/month (in 14 payments = €1381/month annually)
Sri Lanka,monthly,LKR 12500/month minimum; varies by sector
Sudan,monthly,SDG 8000/month
Suriname,monthly,SRD 1300/month
Sweden,none,No statutory minimum; collective bargaining covers ~90% of workers
Switzerland,none,No federal minimum; cantonal minimums exist in some cantons
Taiwan,both,NT$27470/month; NT$185/hour also official
Tajikistan,monthly,TJS 900/month (~$84)
Tanzania,monthly,TZS 400000/month (~$156) formal sector
Thailand,daily,370 THB/day (~$10) set provincially
Timor-Leste,monthly,$115/month
Togo,monthly,CFA 35000/month
Trinidad & Tobago,hourly,TT$20.50/hour (~$3.03)
Tunisia,hourly,TND 3.949/hour (non-agricultural)
Turkey,monthly,TRY 26005.50/month (~$718)
Uganda,none,No statutory minimum wage (last set in 1984 not enforced)
Ukraine,monthly,UAH 8000/month (~$195)
United Kingdom,hourly,£12.21/hour (National Living Wage age 21+)
United States,hourly,$7.25/hour federal; states/cities may set higher
Uruguay,monthly,$UY 22268/month (national floor); sector councils add more
Uzbekistan,monthly,UZS 1050000/month (~$85)
Venezuela,monthly,Bs. 130/month + food bonus
Vietnam,monthly,Varies by region; e.g. VND 4960000/month (Region 1)
Yemen,monthly,YER 21000/month (~$84)
Zambia,monthly,ZMW 1933.80/month (~$75)
Zimbabwe,monthly,$175/month (USD)
