Year,month,Monthly_CPI
2000,Jan,29.38
2000,Feb,29.74
2000,Mar,30.06
2000,Apr,30.66
2000,May,31.62
2000,Jun,32.99
2000,Jul,32.83
2000,Aug,33.59
2000,Sep,34.06
2000,Oct,34.26
2000,Nov,33.79
2000,Dec,33.93
2001,Jan,34.56
2001,Feb,35.27
2001,Mar,35.53
2001,Apr,37.78
2001,May,38.88
2001,Jun,38.29
2001,Jul,39.07
2001,Aug,39.87
2001,Sep,40.57
2001,Oct,40.89
2001,Nov,39.68
2001,Dec,39.53
2002,Jan,40.97
2002,Feb,41.61
2002,Mar,41.7
2002,Apr,42.6
2002,May,42.84
2002,Jun,42.97
2002,Jul,45.15
2002,Aug,44.77
2002,Sep,44.61
2002,Oct,43.08
2002,Nov,44.51
2002,Dec,44.34
2003,Jan,45.31
2003,Feb,44.64
2003,Mar,44.15
2003,Apr,46.12
2003,May,46.56
2003,Jun,48.98
2003,Jul,50.99
2003,Aug,50.34
2003,Sep,52.81
2003,Oct,53.25
2003,Nov,53.98
2003,Dec,54.89
2004,Jan,55.46
2004,Feb,55.73
2004,Mar,54.06
2004,Apr,54.21
2004,May,55.77
2004,Jun,55.88
2004,Jul,56.43
2004,Aug,56.89
2004,Sep,57.63
2004,Oct,58.96
2004,Nov,59.4
2004,Dec,60.39
2005,Jan,60.92
2005,Feb,61.83
2005,Mar,62.86
2005,Apr,63.94
2005,May,65.15
2005,Jun,66.26
2005,Jul,71.18
2005,Aug,72.94
2005,Sep,71.64
2005,Oct,69.93
2005,Nov,68.39
2005,Dec,67.37
2006,Jan,67.44
2006,Feb,68.53
2006,Mar,70.43
2006,Apr,71.97
2006,May,72.02
2006,Jun,71.88
2006,Jul,73.31
2006,Aug,75.67
2006,Sep,76.12
2006,Oct,74.22
2006,Nov,73.69
2006,Dec,73.13
2007,Jan,72.82
2007,Feb,73.38
2007,Mar,74.12
2007,Apr,75.01
2007,May,75.36
2007,Jun,76.51
2007,Jul,76.86
2007,Aug,78.86
2007,Sep,79.25
2007,Oct,77.6
2007,Nov,77.5
2007,Dec,77.93
2008,Jan,79.06
2008,Feb,79.27
2008,Mar,79.89
2008,Apr,81.13
2008,May,82.67
2008,Jun,85.72
2008,Jul,87.58
2008,Aug,88.6
2008,Sep,89.58
2008,Oct,89.04
2008,Nov,88.99
2008,Dec,89.66
2009,Jan,90.15
2009,Feb,90.83
2009,Mar,91.36
2009,Apr,91.9
2009,May,93.59
2009,Jun,95.32
2009,Jul,97.29
2009,Aug,98.39
2009,Sep,98.88
2009,Oct,99.35
2009,Nov,100
2009,Dec,102.15
2010,Jan,103.13
2010,Feb,105.04
2010,Mar,104.9
2010,Apr,105.72
2010,May,105.68
2010,Jun,108.76
2010,Jul,109.94
2010,Aug,111.87
2010,Sep,112.38
2010,Oct,112.72
2010,Nov,112.77
2010,Dec,114.22
2011,Jan,115.59
2011,Feb,116.7
2011,Mar,118.3
2011,Apr,117.66
2011,May,118.73
2011,Jun,119.89
2011,Jul,120.27
2011,Aug,122.27
2011,Sep,124
2011,Oct,124.6
2011,Nov,124.65
2011,Dec,125.97
2012,Jan,130.19
2012,Feb,130.55
2012,Mar,132.63
2012,Apr,132.8
2012,May,133.8
2012,Jun,135.34
2012,Jul,135.66
2012,Aug,136.57
2012,Sep,137.95
2012,Oct,139.17
2012,Nov,140.01
2012,Dec,141.06
2013,Jan,141.94
2013,Feb,143
2013,Mar,144.02
2013,Apr,144.82
2013,May,145.79
2013,Jun,146.65
2013,Jul,147.44
2013,Aug,147.81
2013,Sep,148.9
2013,Oct,150
2013,Nov,151.1
2013,Dec,152.29
2014,Jan,153.26
2014,Feb,154.03
2014,Mar,155.23
2014,Apr,156.19
2014,May,157.4
2014,Jun,158.62
2014,Jul,159.65
2014,Aug,160.42
2014,Sep,161.31
2014,Oct,162.13
2014,Nov,163.1
2014,Dec,164.4
2015,Jan,165.77
2015,Feb,166.9
2015,Mar,168.4
2015,Apr,169.7
2015,May,171.58
2015,Jun,173.17
2015,Jul,174.37
2015,Aug,175.4
2015,Sep,176.5
2015,Oct,177.2
2015,Nov,178.37
2015,Dec,180.15
2016,Jan,181.7
2016,Feb,185.9
2016,Mar,189.94
2016,Apr,192.99
2016,May,198.3
2016,Jun,201.7
2016,Jul,204.23
2016,Aug,206.29
2016,Sep,207.96
2016,Oct,209.68
2016,Nov,211.33
2016,Dec,213.56
2017,Jan,215.72
2017,Feb,218.95
2017,Mar,222.71
2017,Apr,226.27
2017,May,230.53
2017,Jun,234.17
2017,Jul,237.02
2017,Aug,239.32
2017,Sep,241.19
2017,Oct,243.03
2017,Nov,244.93
2017,Dec,246.38
2018,Jan,248.35
2018,Feb,250.32
2018,Mar,252.41
2018,Apr,254.52
2018,May,257.29
2018,Jun,260.47
2018,Jul,263.42
2018,Aug,266.18
2018,Sep,268.41
2018,Oct,270.39
2018,Nov,272.56
2018,Dec,274.57
2019,Jan,276.6
2019,Feb,278.62
2019,Mar,280.81
2019,Apr,283.46
2019,May,286.61
2019,Jun,289.69
2019,Jul,292.62
2019,Aug,295.51
2019,Sep,298.59
2019,Oct,301.78
2019,Nov,304.87
2019,Dec,307.47
2020,Jan,310.16
2020,Feb,312.61
2020,Mar,315.23
2020,Apr,318.45
2020,May,322.17
2020,Jun,326.07
2020,Jul,330.14
2020,Aug,334.57
2020,Sep,339.52
2020,Oct,344.73
2020,Nov,350.26
2020,Dec,355.91
2021,Jan,361.23
2021,Feb,366.8
2021,Mar,372.51
2021,Apr,376.14
2021,May,379.94
2021,Jun,383.96
2021,Jul,387.51
2021,Aug,391.48
2021,Sep,395.98
2021,Oct,399.87
2021,Nov,404.18
2021,Dec,411.52
2022,Jan,417.58
2022,Feb,424.39
2022,Mar,431.8
2022,Apr,439.4
2022,May,447.23
2022,Jun,455.35
2022,Jul,463.63
2022,Aug,471.83
2022,Sep,478.24
2022,Oct,484.19
2022,Nov,490.94
2022,Dec,499.36
2023,Jan,508.69
2023,Feb,517.38
2023,Mar,526.98
2023,Apr,537.05
2023,May,547.47
2023,Jun,559.13
2023,Jul,575.26
2023,Aug,593.55
2023,Sep,606
2023,Oct,616.51
2023,Nov,629.39
2023,Dec,643.78
2024,Jan,660.78
2024,Feb,681.38
2024,Mar,701.95
2024,Apr,718
2024,May,733.36
2024,Jun,750.3
2024,Jul,767.38
2024,Aug,784.38
2024,Sep,804.14
2024,Oct,825.37
2024,Nov,847.14
