year,month,Savings Rate,Call Rate,Commercial Banks Interest Rate On Time Deposits Maturing In 7 Days,Commercial Banks Interest Rate On Time Deposits Maturing In 1 Month,Commercial Banks Interest Rate On Time Deposits Maturing In 3 Months,Commercial Banks Interest Rate On Time Deposits Maturing In 6 Months,Commercial Banks Interest Rate On Time Deposits Maturing In 12 Months,Commercial Banks Interest Rate On Time Deposits Maturing Over 12 Months,Prime Lending Rate Of Commercial Banks,Maximum Lending Rate Of Commercial Banks
2000,Jan,5.4,,8.47,11.6,13.1,13.4,13.22,14.85,21.3,27.2
2000,Feb,4.9,,8.18,11,12.4,12.7,12.61,14.22,21.2,27
2000,Mar,5,,8.2,11.4,12.7,12.8,12.8,14.5,21.9,27.2
2000,Apr,5.2,,8.18,11.1,12.7,12.8,12.78,14.28,21.5,27
2000,May,5.1,,8.23,11,12.5,12.6,12.66,14.03,20.8,27.1
2000,Jun,5.1,,8.3,10.8,12.2,12.3,12.3,13.9,20.8,27.05
2000,Jul,4.77,,7.89,9.5,10.58,10.53,10.7,12.15,20.99,26.29
2000,Aug,5.1,,8.26,10.2,11.3,11.1,11.5,12.55,21.5,26.2
2000,Sep,5,,6.9,9.85,10.7,10.4,11.9,13.2,21.3,26.3
2000,Oct,4.95,,6.88,9.84,10.66,10.4,11.55,12.96,21.25,26.66
2000,Nov,5,,6.92,10.2,11,10.7,11.44,12.98,21.4,26.7
2000,Dec,4.9,,6.8,9.6,10.5,10.3,11.3,11.2,21.33,26.4
2001,Jan,4.6,,7.2,11.5,13.1,12.8,12.93,12.8,21.3,25.6
2001,Feb,4.6,,7.42,12.5,13.2,13.2,13.72,13.45,21.4,25.5
2001,Mar,4.9,,7.6,10.8,11.7,12,13.1,12.4,21.7,26.8
2001,Apr,4.8,,7.95,11.3,12.3,12.6,13.74,12.97,22.2,27.3
2001,May,4.7,,8.18,11.7,12.8,12.9,13.82,13.74,22.6,28.4
2001,Jun,5.2,,11.3,17.5,16.5,19.3,13.9,13.8,23.5,28.4
